EventId,EventTemplate,type,rec
E1,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds",Normal,No action needed.
E2,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",Connection Error,Verify connection settings.
E3,<*> double-hummer alignment exceptions,Timeout,Consider increasing timeout.
E4,<*> floating point alignment exceptions,Disk Failure,Check disk status and logs.
E5,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected,Permission Issue,Review user permissions.
E6,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected over <*> seconds,Memory Leak,Inspect memory usage patterns.
E7,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,Config Warning,Check configuration syntax.
E8,<*> torus receiver x+ input pipe error(s) (dcr <*>) detected and corrected,Leader Election,Monitor leader election process.
E9,<*> torus receiver y+ input pipe error(s) (dcr <*>) detected and corrected,Session Error,Investigate session state.
E10,<*> torus receiver z+ input pipe error(s) (dcr <*>) detected and corrected,Client Disconnect,Check client-side logs.
E11,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds,Normal,No action needed.
E12,"<*> total interrupts. 0 critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",Connection Error,Verify connection settings.
E13,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,Timeout,Consider increasing timeout.
E14,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds,Disk Failure,Check disk status and logs.
E15,auxiliary processor.........................<*>,Permission Issue,Review user permissions.
E16,byte ordering exception.....................<*>,Memory Leak,Inspect memory usage patterns.
E17,Can not get assembly information for node card,Config Warning,Check configuration syntax.
E18,"CE sym <*>, at <*>, mask <*>",Leader Election,Monitor leader election process.
E19,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,Session Error,Investigate session state.
E20,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file /<*>,Client Disconnect,Check client-side logs.
E21,ciod: Error creating node map from file <*>: Bad file descriptor,Normal,No action needed.
E22,ciod: Error creating node map from file <*>: Block device required,Connection Error,Verify connection settings.
E23,ciod: Error creating node map from file <*>: No child processes,Timeout,Consider increasing timeout.
E24,ciod: Error creating node map from file <*>: Permission denied,Disk Failure,Check disk status and logs.
E25,"ciod: Error loading /<*>: invalid or missing program image, Exec format error",Permission Issue,Review user permissions.
