trace_id,timestamp,EventId,EventTemplate,type,rec,log_level,component,source
1,03-17 16:13:38.811,E100,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",Client Disconnect,Check client-side logs.,D,WindowManager,android
2,03-17 16:13:38.819,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Client Disconnect,Check client-side logs.,D,PowerManagerService,android
3,03-17 16:13:38.820,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
4,03-17 16:13:38.839,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,Normal,No action needed.,V,WindowManager,android
5,03-17 16:13:38.859,E165,visible is <*>,Permission Issue,Review user permissions.,D,TextView,android
6,03-17 16:13:38.861,E82,mVisiblity.getValue is false,Connection Error,Verify connection settings.,D,TextView,android
7,03-17 16:13:38.869,E165,visible is <*>,Permission Issue,Review user permissions.,D,TextView,android
8,03-17 16:13:38.871,E82,mVisiblity.getValue is false,Connection Error,Verify connection settings.,D,TextView,android
9,03-17 16:13:38.875,E166,visible is <*> gt <*>,Memory Leak,Inspect memory usage patterns.,D,TextView,android
10,03-17 16:13:38.877,E82,mVisiblity.getValue is false,Connection Error,Verify connection settings.,D,TextView,android
11,03-17 16:13:38.881,E166,visible is <*> gt <*>,Memory Leak,Inspect memory usage patterns.,D,TextView,android
12,03-17 16:13:38.882,E82,mVisiblity.getValue is false,Connection Error,Verify connection settings.,D,TextView,android
13,03-17 16:13:38.887,E165,visible is <*>,Permission Issue,Review user permissions.,D,TextView,android
14,03-17 16:13:38.888,E82,mVisiblity.getValue is false,Connection Error,Verify connection settings.,D,TextView,android
15,03-17 16:13:38.905,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Leader Election,Monitor leader election process.,D,PowerManagerService,android
16,03-17 16:13:38.907,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
17,03-17 16:13:38.915,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,Normal,No action needed.,V,WindowManager,android
18,03-17 16:13:38.928,E155,"updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>",Permission Issue,Review user permissions.,I,StackScrollAlgorithm,android
19,03-17 16:13:38.928,E157,updateDimmedActivatedHideSensitive overlap:false,Config Warning,Check configuration syntax.,I,StackScrollAlgorithm,android
20,03-17 16:13:38.935,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
21,03-17 16:13:38.936,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Leader Election,Monitor leader election process.,D,PowerManagerService,android
22,03-17 16:13:38.938,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
23,03-17 16:13:38.954,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
24,03-17 16:13:38.955,E27,cancelAutohide,Config Warning,Check configuration syntax.,I,PhoneStatusBar,android
25,03-17 16:13:38.955,E84,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",Disk Failure,Check disk status and logs.,I,PhoneStatusBar,android
26,03-17 16:13:38.994,E41,Destroying surface Surface(name=<*>) called by <*>,Normal,No action needed.,I,WindowManager,android
27,03-17 16:13:39.006,E41,Destroying surface Surface(name=<*>) called by <*>,Normal,No action needed.,I,WindowManager,android
28,03-17 16:13:39.010,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Leader Election,Monitor leader election process.,D,PowerManagerService,android
29,03-17 16:13:39.011,E164,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",Disk Failure,Check disk status and logs.,D,PowerManagerService,android
30,03-17 16:13:39.011,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
31,03-17 16:13:39.069,E96,"orientation change is complete, call stopFreezingDisplayLocked",Memory Leak,Inspect memory usage patterns.,I,WindowManager,android
32,03-17 16:13:39.070,E118,Screen frozen for <*> due to Window{<*> u0 <*>.<*>},Leader Election,Monitor leader election process.,I,WindowManager,android
33,03-17 16:13:39.070,E143,startAnimation begin,Timeout,Consider increasing timeout.,D,WindowManager,android
34,03-17 16:13:39.079,E144,startAnimation end,Disk Failure,Check disk status and logs.,D,WindowManager,android
35,03-17 16:13:39.080,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Leader Election,Monitor leader election process.,D,PowerManagerService,android
36,03-17 16:13:39.080,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
37,03-17 16:13:39.095,E110,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching,Client Disconnect,Check client-side logs.,I,AlarmManager,android
38,03-17 16:13:39.207,E114,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",Disk Failure,Check disk status and logs.,I,WindowManager,android
39,03-17 16:13:39.207,E22,"Application requested orientation <*>, got rotation <*> which has compatible metrics",Connection Error,Verify connection settings.,I,WindowManager,android
40,03-17 16:13:40.142,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Client Disconnect,Check client-side logs.,D,PowerManagerService,android
41,03-17 16:13:40.143,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
42,03-17 16:13:40.146,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
43,03-17 16:13:40.147,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
44,03-17 16:13:40.148,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
45,03-17 16:13:40.150,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
46,03-17 16:13:40.190,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
47,03-17 16:13:40.241,E130,shouldBlockLocation running ...,Client Disconnect,Check client-side logs.,W,PhoneInterfaceManager,android
48,03-17 16:13:40.241,E128,shouldBlockLocation  ret:false,Leader Election,Monitor leader election process.,I,PhoneInterfaceManager,android
49,03-17 16:13:40.280,E130,shouldBlockLocation running ...,Client Disconnect,Check client-side logs.,W,PhoneInterfaceManager,android
50,03-17 16:13:40.280,E128,shouldBlockLocation  ret:false,Leader Election,Monitor leader election process.,I,PhoneInterfaceManager,android
